b,G,gamma,M,phi,Rs
2.54e-10,6.64731550039547e10,0.24780745189138112,2.850427642354945,0.347547467121438,1.036085761823417e-08
2.54e-10,6.980158639174365e10,0.23020471295028283,2.446229113009728,0.3040037936483764,3.256374820581255e-08
2.54e-10,6.682146934002721e10,0.19517471571944603,3.819457000621120,0.30606823673026406,9.789045842247873e-09
2.54e-10,7.1006230156502e10,0.17053718851330968,2.742330440602858,0.37046137673302193,1.062085391454313e-08
2.54e-10,7.687178830368758e10,0.15861441512642158,3.392576619586753,0.3535549413031087,1.231742122462056e-08
2.54e-10,6.734592228249147e10,0.1922401587196812,2.380178719814155,0.31004851880293116,9.014708204204565e-09
2.54e-10,7.010432314114366e10,0.2026350228934733,4.050724225307431,0.4065183148423241,9.395661836899478e-09
2.54e-10,6.709024543077742e10,0.16865602749645264,2.631374281481744,0.36459523253917026,1.245617172507726e-08
2.54e-10,6.931655217416711e10,0.20811174000287708,2.946397706655035,0.4272965734341786,1.050760451478281e-08
2.54e-10,7.220540622493054e10,0.21839710522448733,3.201633146514472,0.4309049553291078,1.212450280901802e-08
2.54e-10,6.303800128483219e10,0.20412057968341904,3.643543184892316,0.4364628789609589,8.522822133435940e-09
2.54e-10,7.063504827018222e10,0.18397912684881315,3.254146407781377,0.3939484085674413,8.515571901254739e-09
2.54e-10,7.502214576645502e10,0.16954215678839962,2.655232243294922,0.3976541105230412,3.232080028149783e-08
2.54e-10,7.337794111355846e10,0.23705798959041707,3.391294956442855,0.34431993155538587,8.355805194360087e-09
2.54e-10,6.256086378800372e10,0.22168452752273077,3.365476781943389,0.4352847599782327,1.019205704913606e-08
2.54e-10,6.779233253007065e10,0.19931118138604378,2.406734354748971,0.3247885098637218,2.741120777892708e-08
2.54e-10,6.240570445894968e10,0.2125381779701601,3.732699272180855,0.3238743623768213,1.017430298103296e-08
2.54e-10,7.064370271952747e10,0.2074287574352662,3.516559137424764,0.43683121111434287,1.036606635553007e-08
2.54e-10,6.635028284914748e10,0.2489458864074092,3.103201002020229,0.4229001930650505,2.794998233641669e-08
2.54e-10,7.826253289850494e10,0.17526040966535947,3.178591807254057,0.3586958133755207,2.520628364031525e-08
2.54e-10,6.515545718024155e10,0.18000198287204788,2.605322687570245,0.3826299137020521,8.376345488779574e-09
2.54e-10,6.7873307593197495e10,0.15614255738949712,2.694261459033878,0.4447808570228746,9.547945684281072e-09
2.54e-10,7.854113912966246e10,0.2367580088325189,2.986829009074860,0.4403958247651831,7.389243698575346e-09
2.54e-10,6.7022087258609146e10,0.24097234121133007,2.833298630862862,0.38693413149825095,2.809912750955637e-08
2.54e-10,7.106505930059195e10,0.22208911477093768,2.682536914297248,0.4122892447952452,3.019636737343574e-08
2.54e-10,6.071471985133115e10,0.20296995116962163,2.363083156310030,0.3688055584828449,3.135539553691179e-08
2.54e-10,6.365810274744798e10,0.21958926535799336,3.828786737591198,0.37582119374496314,3.333506869951120e-08
2.54e-10,7.23662810631608e10,0.17753545712315216,2.280644352407346,0.3229321942399249,2.843706088119515e-08
2.54e-10,6.501185262726918e10,0.23021177547381497,2.963954844951049,0.3240032601231566,8.803283471897026e-09
2.54e-10,7.13247944732772e10,0.1759468606823379,2.510593601128756,0.3227916658839563,2.689176335382913e-08
2.54e-10,7.024166571121017e10,0.15655337803106492,3.432667136865938,0.37939132298074835,1.441727395373469e-08
2.54e-10,7.889290856210106e10,0.20267869987138368,3.567176727294711,0.3679038555025301,2.949860947089190e-08
2.54e-10,7.381563331749554e10,0.23648592862129952,3.169301900813411,0.3671794725348942,1.042840017525673e-08
2.54e-10,6.905920381115662e10,0.20810973655528653,2.229077132135694,0.3309304518956159,1.172111995753043e-08
2.54e-10,7.492506747063757e10,0.19482964558559496,3.573040538545627,0.30575547055999075,9.865616042298250e-09
2.54e-10,7.614780936761694e10,0.23554208100436907,3.478038188246488,0.32215771379566194,2.771197304018435e-08
2.54e-10,6.926188089697534e10,0.19838812022417376,3.693116217071128,0.43110458765934134,9.525723399483672e-09
2.54e-10,7.807785659854381e10,0.24400208868910014,3.487027476586126,0.358070334189062,2.815742402006417e-08
2.54e-10,7.917454379865025e10,0.2407616092192767,2.330018831884538,0.3818699775611984,3.004371352042633e-08
2.54e-10,6.327462939410387e10,0.18314000468150662,3.001550286403611,0.3439980972174409,8.955312213581479e-09
2.54e-10,6.619051328028009e10,0.20710759002061457,3.827050151081814,0.41096880291968524,2.957622620727911e-08
2.54e-10,7.816097154413972e10,0.17598966531663096,2.817597634988037,0.33209711041138523,9.434009119559994e-09
2.54e-10,7.872092553205893e10,0.20943138957214394,3.153910962028415,0.3225290483667981,1.174623230536668e-08
2.54e-10,6.585167873613564e10,0.2303888192761448,2.749246577177851,0.32021047575735484,8.133740605148561e-09
2.54e-10,7.352582685872556e10,0.22857386896199366,3.974593148800019,0.334110972661923,1.160328789698983e-08
2.54e-10,6.8009107765858604e10,0.1592829267264046,3.602713357961841,0.32735798578621267,2.616554447756749e-08
2.54e-10,6.806629126669591e10,0.20459309557537808,3.765308828663884,0.34801108609077214,8.216617838337551e-09
2.54e-10,7.194915206088594e10,0.19432380383173659,3.872261881624257,0.40704354847690416,2.739246510335468e-08
2.54e-10,6.456898133741205e10,0.2483299521727946,3.824178173125757,0.44257792372214527,3.265604430288624e-08
2.54e-10,6.942830707062173e10,0.15533855653018733,3.872931899683166,0.40698524777734274,9.604185954417656e-09
2.54e-10,7.364779337705296e10,0.20395675398584695,4.007130693068889,0.4082883305999244,2.854309468767533e-08
2.54e-10,6.2366549138053085e10,0.1526035698675811,2.750722064776191,0.4050334144006555,3.319781134930205e-08
2.54e-10,7.244440997371544e10,0.2197235146509416,2.598229082526691,0.30746028268763814,3.051083235966425e-08
2.54e-10,7.997274597878766e10,0.23391599629371923,2.290836549852508,0.3421433079527123,3.011269232221722e-08
2.54e-10,7.652663989436742e10,0.18323720678791866,2.752706437324552,0.3191033480069778,3.207089924804872e-08
2.54e-10,7.047146010436526e10,0.18986258436792516,2.586565632346036,0.44677132417807885,1.262352806806654e-08
2.54e-10,6.8107464568938965e10,0.1960554114119647,3.159011454022048,0.3833903263823573,2.678304020338320e-08
2.54e-10,7.015531793509644e10,0.18304361331693877,3.224481246994733,0.3387583505004923,1.189170919055358e-08
2.54e-10,6.661142287745253e10,0.19226371124783864,3.573575406763452,0.32680796506504006,1.199078825945342e-08
